,,,,,,,,,
,PJT 問題点管理表　利用後はフィルタ解除の事,,,,,横河記載,,,
,0015,2025/03/04,千葉,-,X：共通,X：共通,運転管理システムログイン画面、製油所モニタログイン画面,"■事象
ログイン画面起動時、一度ユーザID入力のテキストボックスにフォーカスされたあと、ウィンドウそのものからフォーカスが外れるため、改めてクリックしないとID入力できない。（現行ではユーザIDのテキストボックスにフォーカスされ、ウィンドウがフォーカスから外れる動きはしない）
","■原因
ウィンドウからフォーカスが外れる原因は、運転管理システムログイン画面が表示されてから数秒後にChrome更新のポップアップが内部的に（非表示で）起動しており、ポップアップにフォーカスが当たっているためです。

■対策
Chrome更新のポップアップを起動させない方法がなく、ウィンドウからフォーカスが外れることに対する対応が出来ない状況です。
大変恐縮ですが、フォーカスが外れた後に改めてウィンドウにカーソルを当てていただきますよう、お願いいたします。
なお、予めChromeのウィンドウを開いた状態にしておく（そのウィンドウで更新のポップアップを起動させておく）ことで、運転管理システムログイン画面のウィンドウでポップアップを表示させないという対処は可能です。
"
,0016,2025/03/04,千葉,S25 2-62,B：作業計画管理,B：作業計画管理,VIBP080302_ジェット出荷証明書編集,"■事象
ジェット出荷証明書編集画面表示が縦、横枠ともに足りずスクロールしてしまう。","■原因
ジェット出荷証明書編集画面の表示領域が小さかったためです。
■対策
表示領域を修正致します。
"
,0017,2025/03/04,千葉,S25 2-2,B：作業計画管理,B：作業計画管理,VIBA020102_出荷タンク設定,"■事象
出荷タンク設定画面の枠がウィンドウと合っていない","■原因
出荷タンク設定画面の表示領域が小さかったためです。
■対策
表示領域を修正致します。
"
,0018,2025/03/04,千葉,S25 1-46,A：オーダ管理,A：オーダ管理,VIAA040101_日別情報,"■事象
品名表示欄が中央揃えになっている（現行は左寄せ）。","■原因
品名表示欄の表示設定がされていなかったためです。
■対策
表示設定を左寄せで修正致します。
"
,0019,2025/03/04,千葉,S25 5-28,B：作業計画管理,B：作業計画管理,VIEX021201_試験成績書出力一覧,"■事象
納入先/仕入先が中央揃えになっている（現行は左寄せ）。
また、その影響かフォント大きさ・字間が異なるのかは判別できないが、長い名前において一部表示領域をはみ出る","■原因
納入先/仕入先欄の表示設定がされていなかったためです。
■対策
表示設定を左寄せで修正致します。
"
,0020,2025/03/04,千葉,S25 2-53,B：作業計画管理,B：作業計画管理,VIBA021502_サーキュレーション添加剤張込作業予定_新規入力,"■事象
サーキュレーション添加剤張込み作業予定ー新規入力のレイアウトくずれ
試験依頼項目がはみ出している","■原因
明細行の表示サイズががタイトル行の表示サイズより大きくなっていたためです。
■対策
タイトル行と明細行の表示サイズが合うように修正いたします。
"
,0021,2025/03/04,千葉,,X：共通,X：共通,動作が遅い,"■事象
GRANDSITE最新化に伴い、動作が遅くなっている。詳細原因を記載し、対策を検討する。

2025/07/03：メモリ設定、GRANDSIGHT設定変更で解消のためクローズ","■原因
GRANDSIGHTのバージョンアップに伴い、使用されるメモリが増加したことが要因と推測しています。

■対策
本件に関連して、各サーバのメモリ使用状況を確認した結果を以下に格納いたしました。
https://app.box.com/folder/310160814848
　・【No0021】各サーバのメモリ使用量.xlsx

2025/03/18 YJP追記
3/24週にDI部様にて仮想OSのメモリに関する設定変更対応実施予定 
2025/03/25 YJP追記
3/24にDI部様にて設定変更作業を実施済み。
3/25定時後にGRANDSIGHT側のメモリ使用量の上限をあげる対応を実施予定（対象：運転管理AP、製油所モニタ）

2025/03/26 YJP追記
GRANDSIGHT側のメモリ使用量の上限を上げる対応を行いました。以降、動作について継続してご確認ください。
また、本件の対応にともない暫定対応として行っていた定期サービス再起動を止めております。"
,0022,2025/03/05,千葉,S25 1-32,A：オーダ管理,A：オーダ管理,VIAA020803_ボンド出荷オーダ入力 - 代理店情報_,"■事象
代理店入力画面が小さい","■原因
ボンド出荷オーダ入力-代理店情報画面の表示領域が狭く表示されていたためでした。
■対策
明細行のデータが多いと現在の表示領域設定だと見切れてしまうので表示領域設定を修正致しました
"
,0023,2025/03/05,千葉,S25 3-14,C：進捗管理,C：進捗管理,VICB040501_入出荷作業状況表示一覧,"■事象
終了予定日時が左詰めになっている。通常は中央揃え","■原因
終了予定日時項目の表示設定がされていなかったためです。
■対策
表示設定を修正致しました。
2025/03/06 YJP追記
修正版をターゲット環境へリリースした結果、解消されていないことが判明
現在調査中
2025/03/14 YJP追記
ターゲット環境で解消された事を確認
"
,0024,2025/03/05,千葉,,L：試験管理,L：試験管理,ロット状態変更,"■事象
運転管理の「有効期限管理（終了日判定）」処理に伴う試験管理側のロット状態変更が動いていない（無効にならない）","■原因
仕様とおりです。
毎夜00:05に走行する「有効期限管理」処理において、タンクロットにおける期限切れは無効として結果を運転制御には連携しますが試験管理へは連携しておりません。
ブレンダーロットに紐づくタンクロットが無効になった場合のブレンダーロットの無効に関してはブレンダ―ロットに関して試験管理に無効になった連携はしております。
また、試験結果を受信した際に過去ロット等の無効に関しては試験管理へ連携しております。
■対策
特になし

"
,0025,2025/03/05,千葉,S25 1-47,A：オーダ管理,A：オーダ管理,VIAA040201_オーダ詳細一覧,"■事象
数字、文字が重なっている","■原因
半角文字の表示のみ文字間隔が狭くなっていたため
■対策
半角文字が崩れないように修正致します
"
,0026,2025/03/05,千葉,S25 1-52,A：オーダ管理,A：オーダ管理,VIAA050101_オンラインオーダ管理,"■事象
件数の表示が一部ずれている","■原因
表示設定の一部が外れていたため
■対策
表示設定があたるように修正致します
"
,0027,2025/03/05,千葉,,E：品質管理,E：品質管理,VIEX021204_ロット試験報告書表示,"■事象
ロット報告書出力一覧にて、ロット試験報告書が出力できない","■原因
EAIのフォルダーパスの設定ミスを修正後、製油所モニターの共用フォルダにある然るべきフォルダに格納されることは確認（3/10）
作業計画のロット報告書出力一覧からPDFが出力されない件について継続調査中
2025/03/12 YJP追記
参照するPDFファイルの格納先をURLに含めているのですが、その際「\」が含まれることで正常に画面が表示できなくなっていました。
■対策
「￥」をエスケープ処理し画面が正常に表示できるように修正致します。
"
,0028,2025/03/05,千葉,S25 2-65,B：作業計画管理,B：作業計画管理,VIEX020112_出荷ロット確認一覧,"■事象
ロット日付が左にずれている。通常は出荷タンクと同じ中央揃え","■原因
表示設定が反映されていなかったため
■対策
反映するように修正致します
"
